9;Fantasy
A Clockwork Orange;Drama
The A-Team;Action
Alien;SciFi
Aliens;SciFi
Alien³;SciFi
Alien: Resurrection;SciFi
Austin Powers: The Spy Who Shagged Me;Comedy
Austin Powers: International Man of Mystery;Comedy
Austin Powers in Goldmember;Comedy
Charlie and the Chocolate Factory;Family
Batman;Action
Batman Returns;Action
Batman Forever;Action
Batman & Robin;Action
Bedknobs and Broomsticks;Family
Bicentennial Man;Drama
Big;Comedy
Blade;SciFi
Charlie Wilson's War;Drama
Pitch Black;SciFi
City Slickers;Comedy
Letters from Iwo Jima;War
Cloud Atlas;SciFi
Defiance;SciFi
The Dark Knight;Action
District 9;SciFi
Army of Darkness;Horror
Family Guy Presents: Blue Harvest;Comedy
Family Guy Presents: Something, Something, Something, Dark Side;Comedy
Forrest Gump;Drama
The Green Mile;Drama
Gremlins;Comedy
Grumpier Old Men;Comedy
Hellboy;Adventure
Highlander II: The Quickening;Adventure
Highlander IV: Endgame;Adventure
The Hunger Games: Mockingjay - Part 2;SciFi
Jaws: The Revenge;Horror
22 Jump Street;Comedy
Kingsman: The Secret Service;Action
Korgoth of Barbaria;Action
Lethal Weapon;Action
Lethal Weapon 3;Action
Dawn of the Dead;Horror
Mallrats;Comedy
Quigley Down Under;Adventure
Resident Evil: Afterlife;Horror
2010;SciFi
Star Wars;SciFi
The Empire Strikes Back;SciFi
Return of the Jedi;SciFi
Star Wars: Episode I - The Phantom Menace;SciFi
Star Wars: Episode II - Attack of the Clones;SciFi
Star Wars: Episode III - Revenge of the Sith;SciFi
Star Wars: The Force Awakens;SciFi
Rogue One: A Star Wars Story;SciFi
The Terminator;SciFi
Terminator 2: Judgement Day;SciFi
Terminator 3: Rise of the Machines;SciFi
Terminator Salvation;SciFi
Terminator Genisys;SciFi
This Is The End;Comedy
X-Men: First Class;Adventure
The Wolverine;Adventure
X-Men: Days of Future Past;Adventure
X-Men: Apocalypse;Adventure
101 Dalmations II: Patch's London Adventure;Adventure
Agent Cody Banks 2: Destination London;Action
Aladdin;Adventure
The Return of Jafar;Adventure
