Fear the Walking Dead;Walking Dead, Fear the
The Legend of Korra;Avatar- The Legend of Korra
Star Wars Rebels;Star Wars- Rebels
Tenchi Muyo! War on Geminar;Tenchi Muyo! Collection/War on Geminar
Ai: Tenchi Muyo!;Tenchi Muyo! Collection/Ai- Tenchi Muyo!
Tenchi Muyo! Ryo-Ohki;Tenchi Muyo! Collection/Ryo-Ohki
Pretty Sammy;Tenchi Muyo! Collection/Pretty Sammy
Tenchi in Tokyo;Tenchi Muyo! Collection/In Tokyo
Tenchi Universe;Tenchi Muyo! Collection/Universe
Tenchi Muyo! GXP;Tenchi Muyo! Collection/GXP
Castle (2009);Castle
Archer (2009);Archer
Witchblade (2006);Witchblade
Hunter x Hunter: Original Video Animation;Hunter x Hunter- OVA
Doctor Who (2005);Doctor Who
The Librarians (2014);The Librarians
Fullmetal Alchemist - Brotherhood;Fullmetal Alchemist [2009]- Brotherhood
Battlestar Galactica (2003);Battlestar Galactica
The Flash (2014);The Flash
Shameless (US);Shameless
Jericho (2006);Jericho
;BSG Collection/[2010] 
Battlestar Galactica;BSG Collection/[1975] Battlestar Galactica
Battlestar Galactica (2003);BSG Collection/[2003] Battlestar Galactica
Caprica;BSG Collection/[2010] Caprica
Babylon 5;Babylon 5 Collection/[1993] Babylon 5
Crusade;Babylon 5 Collection/[1999] Crusade
The Legend of the Galactic Heroes - Die Neue These (銀河英雄伝説 Die Neue These 邂逅);The Legend of the Galactic Heroes- DNT
Pride and Prejudice (1980);Pride and Prejudice
